#group,false,false,false,false
#datatype,string,string,string,dateTime:RFC3339
#default,,,,
,device,object,status,time
,ESP32-C6,pipe,start,2025-03-12T13:06:17.696664364Z
,ESP32-C6,pipe,stop,2025-03-12T13:22:48.098585912Z
,ESP32-C6,pipe,start,2025-03-12T13:22:53.426289592Z
,ESP32-C6,pipe,stop,2025-03-12T13:34:43.065123235Z
,ESP32-C6,pipe,start,2025-03-12T13:34:44.688613063Z
,ESP32-C6,pipe,stop,2025-03-12T13:52:53.405750502Z
,ESP32-C6,pipe,start,2025-03-12T13:52:59.475834958Z
,ESP32-C6,pipe,stop,2025-03-12T14:29:58.247539812Z
,ESP32-C6,pipe,start,2025-03-12T14:29:59.467784147Z
,ESP32-C6,pipe,stop,2025-03-12T14:44:47.094905672Z
,ESP32-C6,pipe,start,2025-03-12T14:44:48.733822792Z
,ESP32-C6,pipe,stop,2025-03-12T14:53:18.557462546Z
,ESP32-C6,pipe,start,2025-03-12T14:53:44.073859434Z
,ESP32-C6,pipe,stop,2025-03-12T15:32:31.80918777Z
,ESP32-C6,pipe,start,2025-03-12T15:32:34.293811189Z
,ESP32-C6,pipe,stop,2025-03-12T15:40:37.30400718Z
,ESP32-C6,pipe,start,2025-03-12T15:40:39.240835696Z
,ESP32-C6,pipe,stop,2025-03-12T15:43:41.749111841Z
,ESP32-C6,pipe,start,2025-03-12T15:43:44.38661243Z
,ESP32-C6,pipe,stop,2025-03-12T15:58:47.04198125Z
,ESP32-C6,pipe,start,2025-03-12T15:58:48.19214486Z
,ESP32-C6,pipe,stop,2025-03-12T16:08:17.736816574Z
,ESP32-C6,pipe,start,2025-03-12T16:08:23.380309757Z
,ESP32-C6,pipe,stop,2025-03-12T16:16:07.736751617Z
,ESP32-C6,pipe,start,2025-03-12T16:16:09.184018539Z
,ESP32-C6,pipe,stop,2025-03-12T16:23:05.335725468Z
,ESP32-C6,pipe,start,2025-03-12T16:24:39.736487074Z
,ESP32-C6,pipe,stop,2025-03-12T16:39:55.609310745Z
,ESP32-C6,pipe,start,2025-03-12T16:39:57.337769715Z
,ESP32-C6,pipe,stop,2025-03-12T16:46:16.636959551Z
,ESP32-C6,pipe,start,2025-03-12T16:46:21.454643913Z
,ESP32-C6,pipe,stop,2025-03-12T16:57:01.656272358Z
,ESP32-C6,pipe,start,2025-03-12T16:57:02.566013593Z
,ESP32-C6,pipe,stop,2025-03-12T17:04:16.361996656Z
,ESP32-C6,pipe,start,2025-03-12T17:04:26.996540859Z
,ESP32-C6,pipe,stop,2025-03-12T17:33:40.504932955Z
,ESP32-C6,pipe,start,2025-03-12T17:33:42.235639266Z
,ESP32-C6,pipe,stop,2025-03-12T17:38:19.444893653Z
,ESP32-C6,pipe,start,2025-03-12T17:38:22.692772297Z
,ESP32-C6,pipe,stop,2025-03-12T17:48:04.733425363Z
,ESP32-C6,pipe,start,2025-03-12T17:48:26.24591634Z
,ESP32-C6,pipe,stop,2025-03-12T17:52:33.446486024Z
,ESP32-C6,pipe,start,2025-03-12T17:52:36.934154022Z
,ESP32-C6,pipe,stop,2025-03-12T17:57:47.093338168Z
,ESP32-C6,pipe,start,2025-03-12T18:05:43.757472465Z
,ESP32-C6,pipe,stop,2025-03-12T18:18:47.133449714Z
,ESP32-C6,pipe,start,2025-03-12T18:18:48.6736408Z
,ESP32-C6,pipe,stop,2025-03-12T18:28:14.846378016Z
,ESP32-C6,pipe,start,2025-03-12T18:28:27.024621388Z
,ESP32-C6,pipe,stop,2025-03-12T18:34:41.79592306Z
,ESP32-C6,pipe,start,2025-03-12T18:39:49.610674277Z
,ESP32-C6,pipe,stop,2025-03-12T18:53:11.605654294Z
,ESP32-C6,pipe,start,2025-03-12T18:53:26.143476346Z
,ESP32-C6,pipe,stop,2025-03-12T19:01:03.470749922Z
,ESP32-C6,pipe,start,2025-03-12T19:01:08.587629587Z
,ESP32-C6,pipe,stop,2025-03-12T19:07:11.285999143Z
,ESP32-C6,tongue,start,2025-03-12T13:06:16.549543419Z
,ESP32-C6,tongue,stop,2025-03-12T13:52:54.845116213Z
,ESP32-C6,tongue,start,2025-03-12T14:02:21.523746411Z
,ESP32-C6,tongue,stop,2025-03-12T14:53:17.553750093Z
,ESP32-C6,tongue,start,2025-03-12T14:53:42.947146015Z
,ESP32-C6,tongue,stop,2025-03-12T15:43:47.065971836Z
,ESP32-C6,tongue,start,2025-03-12T15:54:25.531512227Z
,ESP32-C6,tongue,stop,2025-03-12T16:23:04.316350513Z
,ESP32-C6,tongue,start,2025-03-12T16:32:25.052711075Z
,ESP32-C6,tongue,stop,2025-03-12T17:08:55.586412406Z
,ESP32-C6,tongue,start,2025-03-12T17:14:58.393697928Z
,ESP32-C6,tongue,stop,2025-03-12T17:57:48.110964159Z
,ESP32-C6,tongue,start,2025-03-12T18:05:42.335928675Z
,ESP32-C6,tongue,stop,2025-03-12T18:34:42.943993866Z
,ESP32-C6,tongue,start,2025-03-12T18:39:50.647996256Z
,ESP32-C6,tongue,stop,2025-03-12T19:07:12.634983306Z
